RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022
44838,6220,Dadeville,City,AL,AL,Alexander City,Tallapoosa County,320693,326078,329896,333187,336028,338487,340485,341812,343233,344479,351997,359198,368714
13571,6254,Rogersville,City,AL,AL,Florence-Muscle Shoals,Lauderdale County,143256,147178,148859,151158,152490,155273,157945,160886,163909,167660,170681,173932,177448
38561,6276,Forestdale,City,AL,AL,Birmingham-Hoover,Jefferson County,139768,140807,141501,142403,143759,146458,149408,151839,153632,156257,159255,161417,163904
21783,6310,Headland,City,AL,AL,Dothan,Henry County,147978,150267,151399,151817,152117,152504,153532,154358,155134,155516,158509,161513,165331
50229,6414,Lincoln,City,AL,AL,Talladega-Sylacauga,Talladega County,165116,167823,169499,171375,173238,174979,176612,177805,178967,179707,183398,187054,191962
36638,6506,Irondale,City,AL,AL,Birmingham-Hoover,Jefferson County,210418,212693,214551,216830,220061,224416,228297,232089,235000,238354,242058,245574,250360
56909,6617,Greensboro,City,AL,AL,Tuscaloosa,Hale County,76476,77726,78952,80267,81960,84794,87655,89228,89560,89071,89992,91006,93036
38480,6711,Falkville,City,AL,AL,Decatur,Morgan County,131044,133641,135717,136921,138398,139614,141276,142071,144591,148474,152887,155403,156908
44695,6726,Collinsville,City,AL,AL,Fort Payne,De Kalb County,109000,111687,113311,115727,116591,117235,117072,117140,117055,116853,119158,121615,124451
17929,6843,Eight Mile,City,AL,AL,Mobile,Mobile County,133723,135005,136861,139924,143718,147725,150762,152809,154957,157055,159353,161335,163420
13630,6873,Russellville,City,AL,AL,,Franklin County,98151,99693,100544,101137,101506,101851,102576,103315,104025,104288,106216,108093,110726
34074,6875,Southside,City,AL,AL,Gadsden,Etowah County,182397,186647,190298,194745,198198,201736,205777,208767,205326,200331,198318,202306,207576
27471,6935,Trinity,City,AL,AL,Decatur,Lawrence County,164328,166681,168874,171689,173993,176223,178070,179863,181565,183516,187283,190875,195103
42350,7074,Evergreen,City,AL,AL,,Conecuh County,70879,72028,72764,73214,73776,74352,75595,76801,77988,78755,80295,81886,83835
12850,7182,Moundville,City,AL,AL,Tuscaloosa,Hale County,154694,157047,158917,160765,162212,164225,166655,169058,170439,171059,173633,176387,180198
11495,7225,Fort Mitchell,City,AL,AL,Columbus,Russell County,212344,215527,217287,219094,220617,221527,222978,224536,225768,226302,230280,234702,240731
10031,7250,Abbeville,City,AL,AL,Dothan,Henry County,98545,99726,100079,100219,100378,100358,100847,101257,101712,102044,104044,106201,108867
6096,7266,Munford,City,AL,AL,Talladega-Sylacauga,Talladega County,117389,119205,120047,121659,123030,124975,126392,127533,128337,128479,131205,133871,137901
31965,7284,Hartford,City,AL,AL,Dothan,Geneva County,111818,113529,114518,115697,116901,118127,118904,119512,120124,120676,122759,124483,127312
40137,7298,Ohatchee,City,AL,AL,Anniston-Oxford-Jacksonville,Calhoun County,146236,149567,151809,153500,154164,156123,157783,158968,158925,159053,160703,163478,165586
